RK,TIERS,PLAYER NAME,TEAM,POS
1,1,Josh Allen,,QB1
1,1,Jahmyr Gibbs,,RB1
1,1,Ja'Marr Chase,,WR1
1,1,Brock Bowers,,TE1
1,1,Los Angeles Rams,,DST1
1,1,Brandon Aubrey,,K1
2,2,Lamar Jackson,,QB2
2,1,Bijan Robinson,,RB2
2,1,Puka Nacua,,WR2
2,1,Trey McBride,,TE2
2,1,Houston Texans,,DST2
2,1,Ka'imi Fairbairn,,K2
3,3,Drake Maye,,QB3
3,2,Christian McCaffrey,,RB3
3,2,Jaxon Smith-Njigba,,WR3
3,2,Colston Loveland,,TE3
3,2,Denver Broncos,,DST3
3,2,Cameron Dicker,,K3
4,3,Joe Burrow,,QB4
4,2,Jonathan Taylor,,RB4
4,2,Amon-Ra St. Brown,,WR4
4,2,Tyler Warren,,TE4
4,2,Seattle Seahawks,,DST4
4,2,Jason Myers,,K4
5,4,Jayden Daniels,,QB5
5,3,James Cook,,RB5
5,3,CeeDee Lamb,,WR5
5,3,Kyle Pitts,,TE5
5,3,Minnesota Vikings,,DST5
5,3,Will Reichard,,K5
6,4,Jalen Hurts,,QB6
6,3,Chase Brown,,RB6
6,3,Justin Jefferson,,WR6
6,3,Tucker Kraft,,TE6
6,3,Philadelphia Eagles,,DST6
6,3,Eddy Pineiro,,K6
7,5,Trevor Lawrence,,QB7
7,3,Saquon Barkley,,RB7
7,4,Drake London,,WR7
7,4,Sam LaPorta,,TE7
7,3,Jacksonville Jaguars,,DST7
7,3,Cam Little,,K7
8,5,Dak Prescott,,QB8
8,4,Derrick Henry,,RB8
8,4,A.J. Brown,,WR8
8,4,Harold Fannin Jr.,,TE8
8,4,Baltimore Ravens,,DST8
8,4,Chase McLaughlin,,K8
9,6,Caleb Williams,,QB9
9,4,Omarion Hampton,,RB9
9,4,Nico Collins,,WR9
9,4,Travis Kelce,,TE9
9,4,Pittsburgh Steelers,,DST9
9,4,Harrison Mevis,,K9
10,6,Justin Herbert,,QB10
10,4,Kenneth Walker III,,RB10
10,5,DeVonta Smith,,WR10
10,5,George Kittle,,TE10
10,5,New England Patriots,,DST10
10,4,Jake Bates,,K10
11,7,Brock Purdy,,QB11
11,5,De'Von Achane,,RB11
11,5,Chris Olave,,WR11
11,5,Dallas Goedert,,TE11
11,5,Los Angeles Chargers,,DST11
11,5,Tyler Loop,,K11
12,7,Patrick Mahomes,,QB12
12,5,Ashton Jeanty,,RB12
12,5,George Pickens,,WR12
12,5,Dalton Kincaid,,TE12
12,6,Chicago Bears,,DST12
12,5,Cairo Santos,,K12
13,8,Jaxson Dart,,QB13
13,6,Kyren Williams,,RB13
13,6,Malik Nabers,,WR13
13,6,Mark Andrews,,TE13
13,6,Green Bay Packers,,DST13
13,5,Chris Boswell,,K13
14,8,Kyler Murray,,QB14
14,6,Jeremiyah Love,,RB14
14,6,Rashee Rice,,WR14
14,6,Isaiah Likely,,TE14
14,7,Buffalo Bills,,DST14
14,6,Trey Smack,,K14
15,9,Matthew Stafford,,QB15
15,6,Javonte Williams,,RB15
15,7,Ladd McConkey,,WR15
15,6,Juwan Johnson,,TE15
15,7,Detroit Lions,,DST15
15,6,Spencer Shrader,,K15
16,9,Bo Nix,,QB16
16,7,Cam Skattebo,,RB16
