Rank,Quarterback,Tier,,Rank,Running Back,Tier,,Rank,Running Back,Tier,,Rank,Wide Receiver,Tier,,Rank,Wide Receiver,Tier,,Rank,Wide Receiver,Tier,,Rank,Tight End,Tier,,Rank,Half PPR Flex,Position,Tier,,Rank,Half PPR Flex,Position,Tier,,Rank,Half PPR Flex,Position,Tier,,Rank,Half PPR Flex,Position,Tier,,Rank,Team Defense,Tier,,Rank,Kicker,Tier
1,Josh Allen,1,,1,Jahmyr Gibbs,1,,41,Tyjae Spears,14,,1,Ja'Marr Chase,1,,41,Quentin Johnston,12,,81,Rashod Bateman,18,,1,Brock Bowers,1,,1,Jahmyr Gibbs,RB,1,,51,Jadarian Price,RB,7,,101,Marshawn Lloyd,RB,11,,151,Eddy Pineiro,K,16,,1,Los Angeles Rams,1,,1,Brandon Aubrey,1
2,Lamar Jackson,2,,2,Bijan Robinson,1,,42,Aaron Jones Sr.,14,,2,Puka Nacua,1,,42,Michael Wilson,12,,82,Malachi Fields,18,,2,Trey McBride,1,,2,Bijan Robinson,RB,1,,52,David Montgomery,RB,7,,102,Quentin Johnston,WR,11,,152,Philadelphia Eagles,DST,16,,2,Houston Texans,1,,2,Ka'imi Fairbairn,1
3,Drake Maye,3,,3,Christian McCaffrey,2,,43,Tyler Allgeier,15,,3,Jaxon Smith-Njigba,2,,43,Wan'Dale Robinson,12,,83,Pat Bryant,19,,3,Colston Loveland,2,,3,Ja'Marr Chase,WR,1,,53,DJ Moore,WR,7,,103,Michael Wilson,WR,11,,153,Jacksonville Jaguars,DST,16,,3,Denver Broncos,2,,3,Cameron Dicker,2
4,Joe Burrow,3,,4,Jonathan Taylor,2,,44,Josh Jacobs,15,,4,Amon-Ra St. Brown,2,,44,KC Concepcion,12,,84,Ted Hurst,19,,4,Tyler Warren,2,,4,Puka Nacua,WR,1,,54,Quinshon Judkins,RB,7,,104,Chris Rodriguez Jr.,RB,11,,154,Cam Little,K,16,,4,Seattle Seahawks,2,,4,Jason Myers,2
5,Jayden Daniels,4,,5,James Cook,3,,45,Woody Marks,15,,5,CeeDee Lamb,3,,45,Jayden Reed,12,,85,Tre' Harris,19,,5,Kyle Pitts,3,,5,Christian McCaffrey,RB,1,,55,Lamar Jackson,QB,7,,105,Wan'Dale Robinson,WR,12,,155,Dalton Schultz,TE,17,,5,Minnesota Vikings,3,,5,Will Reichard,3
6,Jalen Hurts,4,,6,Chase Brown,3,,46,Dylan Sampson,15,,6,Justin Jefferson,3,,46,Makai Lemon,13,,86,Tyquan Thornton,19,,6,Tucker Kraft,3,,6,Jonathan Taylor,RB,1,,56,Mike Evans,WR,7,,106,Brock Purdy,QB,12,,156,T.J. Hockenson,TE,17,,6,Philadelphia Eagles,3,,6,Eddy Pineiro,3
7,Trevor Lawrence,5,,7,Saquon Barkley,3,,47,Rachaad White,15,,7,Drake London,4,,47,De'Zhaun Stribling,13,,87,Xavier Legette,19,,7,Sam LaPorta,4,,7,Jaxon Smith-Njigba,WR,1,,57,Terry McLaurin,WR,7,,107,Patrick Mahomes,QB,12,,157,Chig Okonkwo,TE,17,,7,Jacksonville Jaguars,3,,7,Cam Little,3
8,Dak Prescott,5,,8,Derrick Henry,4,,48,Keaton Mitchell,16,,8,A.J. Brown,4,,48,Jalen Coker,13,,88,Devaughn Vele,19,,8,Harold Fannin Jr.,4,,8,James Cook,RB,1,,58,Christian Watson,WR,7,,108,KC Concepcion,WR,12,,158,Baltimore Ravens,DST,17,,8,Baltimore Ravens,4,,8,Chase McLaughlin,4
9,Caleb Williams,6,,9,Omarion Hampton,4,,49,Mike Washington Jr.,16,,9,Nico Collins,4,,49,Jordyn Tyson,13,,89,Zachariah Branch,20,,9,Travis Kelce,4,,9,Amon-Ra St. Brown,WR,2,,59,Drake Maye,QB,7,,109,Jayden Reed,WR,12,,159,Pittsburgh Steelers,DST,17,,9,Pittsburgh Steelers,4,,9,Harrison Mevis,4
10,Justin Herbert,6,,10,Kenneth Walker III,4,,50,Jonah Coleman,16,,10,DeVonta Smith,5,,50,Jakobi Meyers,13,,90,DeMario Douglas,20,,10,George Kittle,5,,10,CeeDee Lamb,WR,2,,60,Jaylen Warren,RB,8,,110,Makai Lemon,WR,12,,160,Chase McLaughlin,K,17,,10,New England Patriots,5,,10,Jake Bates,4
11,Brock Purdy,7,,11,De'Von Achane,5,,51,Zach Charbonnet,16,,11,Chris Olave,5,,51,Khalil Shakir,14,,91,Xavier Hutchinson,20,,11,Dallas Goedert,5,,11,Justin Jefferson,WR,2,,61,Kyle Pitts,TE,8,,111,De'Zhaun Stribling,WR,12,,161,Harrison Mevis,K,17,,11,Los Angeles Chargers,5,,11,Tyler Loop,5
12,Patrick Mahomes,7,,12,Ashton Jeanty,5,,52,Braelon Allen,16,,12,George Pickens,5,,52,Matthew Golden,14,,92,Luke McCaffrey,20,,12,Dalton Kincaid,5,,12,Chase Brown,RB,2,,62,Rome Odunze,WR,8,,112,Mark Andrews,TE,12,,162,Xavier Worthy,WR,17,,12,Chicago Bears,6,,12,Cairo Santos,5
13,Jaxson Dart,8,,13,Kyren Williams,6,,53,Alvin Kamara,17,,13,Malik Nabers,6,,53,Josh Downs,14,,93,Ryan Flournoy,20,,13,Mark Andrews,6,,13,Saquon Barkley,RB,2,,63,Jameson Williams,WR,8,,113,Isaiah Likely,TE,12,,163,Rashid Shaheed,WR,17,,13,Green Bay Packers,6,,13,Chris Boswell,5
14,Kyler Murray,8,,14,Jeremiyah Love,6,,54,Isiah Pacheco,17,,14,Rashee Rice,6,,54,Keenan Allen,14,,94,Jahan Dotson,20,,14,Isaiah Likely,6,,14,Derrick Henry,RB,2,,64,Joe Burrow,QB,8,,114,RJ Harvey,RB,12,,164,Zach Charbonnet,RB,17,,14,Buffalo Bills,7,,14,Trey Smack,6
15,Matthew Stafford,9,,15,Javonte Williams,6,,55,Tyrone Tracy Jr.,17,,15,Ladd McConkey,7,,55,Romeo Doubs,15,,95,Darnell Mooney,20,,15,Juwan Johnson,6,,15,Omarion Hampton,RB,2,,65,Rhamondre Stevenson,RB,8,,115,Tyjae Spears,RB,12,,165,Braelon Allen,RB,17,,15,Detroit Lions,7,,15,Spencer Shrader,6
16,Bo Nix,9,,16,Cam Skattebo,7,,56,Tank Bigsby,18,,16,Luther Burden III,7,,56,Xavier Worthy,15,,96,Elic Ayomanor,21,,16,Jake Ferguson,6,,16,Kenneth Walker III,RB,2,,66,TreVeyon Henderson,RB,8,,116,Juwan Johnson,TE,12,,166,New England Patriots,DST,18,,16,Kansas City Chiefs,7,,16,Harrison Butker,6
17,Jared Goff,9,,17,Travis Etienne Jr.,7,,57,Ray Davis,18,,17,Jaylen Waddle,7,,57,Rashid Shaheed,15,,97,Germie Bernard,21,,17,Brenton Strange,7,,17,De'Von Achane,RB,3,,67,Carnell Tate,WR,8,,117,Aaron Jones Sr.,RB,12,,167,Los Angeles Chargers,DST,18,,17,San Francisco 49ers,8,,17,Andy Borregales,6
18,Jordan Love,10,,18,Breece Hall,7,,58,Brian Robinson Jr.,18,,18,Zay Flowers,7,,58,Deebo Samuel,15,,98,KaVontae Turpin,21,,18,Hunter Henry,7,,18,Ashton Jeanty,RB,3,,68,Tucker Kraft,TE,8,,118,Los Angeles Rams,DST,13,,168,Deebo Samuel,WR,18,,18,Indianapolis Colts,8,,18,Daniel Carlson,7
19,Baker Mayfield,10,,19,Bucky Irving,8,,59,Samaje Perine,19,,19,Tee Higgins,8,,59,Malik Washington,15,,99,Zavion Thomas,21,,19,Dalton Schultz,8,,19,Drake London,WR,3,,69,Sam LaPorta,TE,8,,119,Houston Texans,DST,13,,169,Malik Washington,WR,18,,19,New Orleans Saints,9,,19,Nick Folk,7
20,Tyler Shough,10,,20,D'Andre Swift,8,,60,Malik Davis,19,,20,Tetairoa McMillan,8,,60,Tre Tucker,15,,100,Isaiah Williams,21,,20,T.J. Hockenson,8,,20,A.J. Brown,WR,3,,70,Bhayshul Tuten,RB,8,,120,Brandon Aubrey,K,13,,170,Alvin Kamara,RB,18,,20,Atlanta Falcons,9,,20,Wil Lutz,8
21,Malik Willis,11,,21,Jadarian Price,8,,61,Emmett Johnson,19,,21,Garrett Wilson,8,,61,Kayshon Boutte,16,,101,Troy Franklin,21,,21,Chig Okonkwo,8,,21,Brock Bowers,TE,3,,71,Jayden Daniels,QB,9,,121,Ka'imi Fairbairn,K,13,,171,Isiah Pacheco,RB,18,,21,Cincinnati Bengals,9,,21,Tyler Bass,8
22,Daniel Jones,12,,22,David Montgomery,8,,62,Kaelon Black,19,,22,Emeka Egbuka,8,,62,Ja'Kobi Lane,16,,102,Kendrick Bourne,21,,22,Terrance Ferguson,9,,22,Kyren Williams,RB,3,,72,Jalen Hurts,QB,9,,122,Jake Ferguson,TE,13,,172,Tyrone Tracy Jr.,RB,18,,22,Tampa Bay Buccaneers,10,,22,Evan McPherson,8
23,Sam Darnold,12,,23,Quinshon Judkins,8,,63,Justice Hill,20,,23,Davante Adams,9,,63,Cyrus Allen,16,,103,Keon Coleman,21,,23,Greg Dulcich,9,,23,Jeremiyah Love,RB,3,,73,Marvin Harrison Jr.,WR,9,,123,Jaxson Dart,QB,13,,173,Jake Bates,K,18,,23,Cleveland Browns,10,,23,Jake Elliott,8
24,C.J. Stroud,12,,24,Jaylen Warren,8,,64,George Holani,20,,24,Parker Washington,9,,64,Jauan Jennings,16,,104,Andrei Iosivas,21,,24,AJ Barner,9,,24,Trey McBride,TE,3,,74,Alec Pierce,WR,9,,124,Kyler Murray,QB,13,,174,Terrance Ferguson,TE,18,,24,Carolina Panthers,10,,24,Drew Stevens,9
25,Cam Ward,12,,25,Rhamondre Stevenson,9,,65,Nicholas Singleton,20,,25,DJ Moore,9,,65,Jalen McMillan,16,,105,Jalen Tolbert,22,,25,Cade Otton,10,,25,Nico Collins,WR,4,,75,Jonathon Brooks,RB,9,,125,Tyler Allgeier,RB,13,,175,Greg Dulcich,TE,18,,25,Dallas Cowboys,10,,25,Dominic Zvada,9
26,Jacoby Brissett,13,,26,TreVeyon Henderson,9,,66,Kaytron Allen,20,,26,Mike Evans,9,,66,Adonai Mitchell,16,,106,Antonio Williams,22,,26,Kenyon Sadiq,10,,26,DeVonta Smith,WR,4,,76,Jacory Croskey-Merritt,RB,9,,126,Brenton Strange,TE,13,,176,AJ Barner,TE,18,,26,Tennessee Titans,11,,26,Chad Ryland,9
27,Bryce Young,13,,27,Bhayshul Tuten,9,,67,Demond Claiborne,20,,27,Terry McLaurin,9,,67,Denzel Boston,16,,107,Skyler Bell,22,,27,Pat Freiermuth,10,,27,Chris Olave,WR,4,,77,Harold Fannin Jr.,TE,9,,127,Hunter Henry,TE,13,,177,Jordan Love,QB,19,,27,New York Jets,11,,27,Joey Slye,10
28,Aaron Rodgers,13,,28,Marshawn Lloyd,10,,68,Kimani Vidal,20,,28,Christian Watson,10,,68,Caleb Douglas,17,,108,Tez Johnson,22,,28,Charlie Kolar,11,,28,George Pickens,WR,4,,78,Rico Dowdle,RB,9,,128,Jalen Coker,WR,14,,178,Baker Mayfield,QB,19,,28,New York Giants,11,,28,Ryan Fitzgerald,10
29,Geno Smith,14,,29,Jonathon Brooks,10,,69,Sean Tucker,20,,29,Rome Odunze,10,,69,Dontayvion Wicks,17,,109,Chimere Dike,22,,29,Gunnar Helm,11,,29,Malik Nabers,WR,4,,79,Chris Godwin,WR,9,,129,Jordyn Tyson,WR,14,,179,Tyler Shough,QB,19,,29,Washington Commanders,12,,29,Matt Gay,11
30,Tua Tagovailoa,14,,30,Jacory Croskey-Merritt,10,,70,Ty Johnson,21,,30,Jameson Williams,10,,70,Jalen Nailor,17,,110,Kalif Raymond,22,,30,Colby Parkinson,11,,30,Rashee Rice,WR,4,,80,Courtland Sutton,WR,9,,130,Jakobi Meyers,WR,14,,180,Tre Tucker,WR,19,,30,Las Vegas Raiders,12,,30,Jason Sanders,11
31,Fernando Mendoza,15,,31,Rico Dowdle,11,,71,Isaiah Davis,21,,31,Carnell Tate,10,,71,Omar Cooper Jr.,17,,111,Brenen Thompson,22,,31,Mike Gesicki,12,,31,Javonte Williams,RB,4,,81,Travis Kelce,TE,10,,131,Khalil Shakir,WR,14,,181,Kayshon Boutte,WR,19,,31,Miami Dolphins,13,,31,Riley Patterson,12
